Gene,Expt,x,y
3110035E14Rik,1,19083,15517
3110035E14Rik,1,19085,15770
3110035E14Rik,1,19092,15395
3110035E14Rik,1,19093,16260
3110035E14Rik,1,19100,15442
3110035E14Rik,1,19100,16257
3110035E14Rik,1,19100,16478
3110035E14Rik,1,19101,15707
3110035E14Rik,1,19102,15857
3110035E14Rik,1,19106,15581
3110035E14Rik,1,19109,15480
3110035E14Rik,1,19109,15498
3110035E14Rik,1,19115,15564
3110035E14Rik,1,19118,16263
3110035E14Rik,1,19120,14966
3110035E14Rik,1,19120,15509
3110035E14Rik,1,19124,15444
3110035E14Rik,1,19124,15856
3110035E14Rik,1,19126,15566
3110035E14Rik,1,19126,15728
3110035E14Rik,1,19127,15632
3110035E14Rik,1,19132,15699
3110035E14Rik,1,19138,15652
3110035E14Rik,1,19138,16128
3110035E14Rik,1,19141,15504
3110035E14Rik,1,19144,15684
3110035E14Rik,1,19149,15691
3110035E14Rik,1,19150,15637
3110035E14Rik,1,19154,15691
3110035E14Rik,1,19154,16332
3110035E14Rik,1,19163,15584
3110035E14Rik,1,19165,15683
3110035E14Rik,1,19167,15498
3110035E14Rik,1,19170,15661
3110035E14Rik,1,19177,15052
3110035E14Rik,1,19178,15627
3110035E14Rik,1,19178,15774
3110035E14Rik,1,19194,15618
3110035E14Rik,1,19194,15734
3110035E14Rik,1,19198,15708
3110035E14Rik,1,19200,16564
3110035E14Rik,1,19202,15867
3110035E14Rik,1,19207,15254
3110035E14Rik,1,19209,15871
3110035E14Rik,1,19211,15856
3110035E14Rik,1,19211,15883
3110035E14Rik,1,19215,15689
3110035E14Rik,1,19217,15308
3110035E14Rik,1,19220,15865
3110035E14Rik,1,19222,15589
3110035E14Rik,1,19224,15613
3110035E14Rik,1,19233,15695
3110035E14Rik,1,19234,15609
3110035E14Rik,1,19236,15585
3110035E14Rik,1,19242,15567
3110035E14Rik,1,19249,15656
3110035E14Rik,1,19250,15581
3110035E14Rik,1,19250,15778
3110035E14Rik,1,19251,15683
3110035E14Rik,1,19252,15604
3110035E14Rik,1,19252,15770
3110035E14Rik,1,19253,15770
3110035E14Rik,1,19260,15791
3110035E14Rik,1,19267,15620
3110035E14Rik,1,19269,15591
3110035E14Rik,1,19271,16499
3110035E14Rik,1,19275,15716
3110035E14Rik,1,19276,15873
3110035E14Rik,1,19280,15839
3110035E14Rik,1,19284,15689
3110035E14Rik,1,19299,15761
3110035E14Rik,1,19306,15332
3110035E14Rik,1,19315,16465
3110035E14Rik,1,19316,15584
3110035E14Rik,1,19316,15867
3110035E14Rik,1,19317,15323
3110035E14Rik,1,19318,15896
3110035E14Rik,1,19324,16472
3110035E14Rik,1,19338,15768
3110035E14Rik,1,19341,15728
3110035E14Rik,1,19342,15625
3110035E14Rik,1,19344,15742
3110035E14Rik,1,19346,15570
3110035E14Rik,1,19347,16094
3110035E14Rik,1,19348,16012
3110035E14Rik,1,19357,15681
3110035E14Rik,1,19357,15819
3110035E14Rik,1,19358,15689
3110035E14Rik,1,19358,15907
3110035E14Rik,1,19363,15502
3110035E14Rik,1,19369,15833
3110035E14Rik,1,19375,15644
3110035E14Rik,1,19376,15847
3110035E14Rik,1,19384,15830
3110035E14Rik,1,19384,15960
3110035E14Rik,1,19385,15717
3110035E14Rik,1,19386,15599
3110035E14Rik,1,19386,15716
3110035E14Rik,1,19386,15791
3110035E14Rik,1,19388,15756
3110035E14Rik,1,19391,15800
3110035E14Rik,1,19392,15717
3110035E14Rik,1,19394,15881
3110035E14Rik,1,19412,15679
3110035E14Rik,1,19417,15879
3110035E14Rik,1,19420,15821
3110035E14Rik,1,19422,15419
3110035E14Rik,1,19423,16634
3110035E14Rik,1,19433,15889
3110035E14Rik,1,19441,16340
3110035E14Rik,1,19444,16024
3110035E14Rik,1,19447,15817
3110035E14Rik,1,19447,16056
3110035E14Rik,1,19448,15809
3110035E14Rik,1,19453,15824
3110035E14Rik,1,19456,15737
3110035E14Rik,1,19458,16629
3110035E14Rik,1,19459,15914
3110035E14Rik,1,19471,14902
3110035E14Rik,1,19476,14910
