model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Ndnf.Cxcl14,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Choroid,Endo,Eryth.2,Microglia.1,Oligo.1,Oligo.2,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,Pvalb.Tac1.Nr4a2,Sst.Erbb4.Crh,Sst.Erbb4.Th,Vsmc,Zero
Astro.1,0.0,0.0,0.0,0.0,0.0010492836233540002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012588261796910001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001558739020726,0.9938268298938291
Astro.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001245170898336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010816821585490001,0.996140641694859
Astro.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014018755779070002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012702852453340002,0.9955088105246941
Astro.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011932676626750002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001077750430444,0.9963013461388781
Astro.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014897794720440001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001679040017733,0.9949118084828551
Astro.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012180249805020002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001057220451715,0.996251599787712
Astro.2,0.001315047716393,0.001610912275563,0.0,0.0,0.0019562220686190003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003225913104192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002952006833119,0.987220237978751
Astro.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018515411683610002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001514910509522,0.99405876842769
Astro.2,0.002515261490297,0.004401658163879,0.0,0.001129057340255,0.004769365656079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013321660739890001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011469031537450001,0.984268506785488
Astro.2,0.0,0.0012775001311560001,0.0,0.0,0.001136674692226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001347703632805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001042613924015,0.9938085893580241
