model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Calca,Cck.Cxcl14.Calb1.Kctd12,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.3,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero
Astro.1,0.44323056789582604,0.001015163185748,0.030995008723896003,0.0010678988370530001,0.053736089404621004,0.0,0.0,0.0,0.0,0.0,0.0011561445746500001,0.003574648653961,0.0,0.004071667031194001,0.0020629014518300003,0.013120999818097001,0.011446393147760001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007166846176546,0.079212983765662,0.0,0.010912636112813,0.0,0.0,0.036297612116625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18047676491879902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005431434559939,0.001481842226884,0.0,0.0030644072247320003,0.012219974001035002,0.0,0.011411751091822001,0.007162634498726001,0.0,0.0,0.021447325842934,0.0,0.0,0.020848940097789002,0.001378285403889,0.0,0.031283040367073,0.0016034833456540002
Astro.1,0.0,0.0,0.0,0.0,0.0010248821356860002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004908209889457,0.021531634173943003,0.0,0.0033166594061880003,0.005983538128321001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011886913341668,0.9489967904634191
Astro.1,0.004519744050012001,0.006289718503237,0.0,0.001401455213727,0.0038588922969120002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011621854826420002,0.0018616497888620002,0.0,0.003684385704647,0.003743541288307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066736524049680005,0.9658496504343371
Astro.1,0.018908898227784,0.0077745266921830005,0.004872973867067001,0.005318979421151,0.007589204222507,0.0,0.0,0.0,0.0,0.0,0.001213535472551,0.0,0.0015095460762350001,0.0,0.005786946995207,0.00266996086629,0.002096201845576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041530727906123006,0.0,0.002141887920586,0.003669261449256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020040742483090003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014164957147160002,0.0,0.001067506409216,0.887501103668735
Astro.2,0.001637039646739,0.001339650517488,0.0,0.0,0.0031180901869440002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031466905940050003,0.0,0.0,0.0026482766467900002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010828461213600001,0.9851365365680611
Astro.2,0.006456274737114001,0.005879975176369,0.0,0.003754315115852,0.009757835083470001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014855671081477001,0.0,0.003335836827317,0.005990395507079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004105595439003001,0.9442388390471381
Astro.2,0.018750852495217,0.032774591287659,0.0037257234098290004,0.005546418575214001,0.027225320851113004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006898924658173,0.0014890258806020001,0.0,0.00423831403444,0.007114847507429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036157308338023005,0.855335717505272
Astro.2,0.023951306569201,0.016123749090956003,0.008806737892391,0.010390182890629,0.040254661295337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024288646667087,0.0,0.009012542553917001,0.007363988103479001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001143496817699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005516189936379001,0.851433998089658
Astro.2,0.112551025112143,0.034661927335507,0.10499201322587501,0.024990066506169,0.067704924951878,0.0,0.0,0.0,0.0,0.0,0.007366582671222001,0.09377255188363201,0.01899049036152,0.004056329627378,0.012282195158078001,0.056940624363904006,0.041788405386068005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016387904227510002,0.013200149069242,0.0,0.0016863783102100001,0.001604401520498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019680519136313003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001128557012188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002572530413051,0.0,0.008281862871825,0.3682058613647
Astro.2,0.034220972312265,0.027574536676071,0.02196187252248,0.012073148880499,0.025640568610118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003201547233895,0.0,0.0033550411404480005,0.0045919111954230004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002841154355427,0.863125995161737
