Gene,Expt,x,y
3110035E14Rik,1,24972,13184
3110035E14Rik,1,24975,13171
3110035E14Rik,1,24984,12918
3110035E14Rik,1,24991,13106
3110035E14Rik,1,25000,13159
3110035E14Rik,1,25004,13134
3110035E14Rik,1,25006,13097
3110035E14Rik,1,25006,13117
3110035E14Rik,1,25007,13076
3110035E14Rik,1,25010,13131
3110035E14Rik,1,25016,13143
3110035E14Rik,1,25018,13052
3110035E14Rik,1,25018,13172
3110035E14Rik,1,25033,11982
3110035E14Rik,1,25034,13051
3110035E14Rik,1,25037,13142
3110035E14Rik,1,25038,13031
3110035E14Rik,1,25042,13186
3110035E14Rik,1,25043,13030
3110035E14Rik,1,25048,13089
3110035E14Rik,1,25051,13144
3110035E14Rik,1,25054,13179
3110035E14Rik,1,25066,13195
3110035E14Rik,1,25069,13082
3110035E14Rik,1,25071,13160
3110035E14Rik,1,25083,13241
3110035E14Rik,1,25114,13183
3110035E14Rik,1,25118,13050
3110035E14Rik,1,25120,12935
3110035E14Rik,1,25124,13148
3110035E14Rik,1,25127,13227
3110035E14Rik,1,25134,12327
3110035E14Rik,1,25134,13069
3110035E14Rik,1,25139,13142
3110035E14Rik,1,25143,12999
3110035E14Rik,1,25143,13101
3110035E14Rik,1,25145,13042
3110035E14Rik,1,25153,13040
3110035E14Rik,1,25154,12992
3110035E14Rik,1,25156,12935
3110035E14Rik,1,25160,13010
3110035E14Rik,1,25161,13088
3110035E14Rik,1,25176,12047
3110035E14Rik,1,25179,13142
3110035E14Rik,1,25180,13133
3110035E14Rik,1,25189,12947
3110035E14Rik,1,25202,13095
3110035E14Rik,1,25203,13058
3110035E14Rik,1,25212,13055
3110035E14Rik,1,25218,12487
3110035E14Rik,1,25218,13097
3110035E14Rik,1,25219,13043
3110035E14Rik,1,25220,13055
3110035E14Rik,1,25226,12839
3110035E14Rik,1,25226,12936
3110035E14Rik,1,25226,13197
3110035E14Rik,1,25227,13001
3110035E14Rik,1,25242,13080
3110035E14Rik,1,25251,12991
3110035E14Rik,1,25261,13017
3110035E14Rik,1,25267,12930
3110035E14Rik,1,25271,13265
3110035E14Rik,1,25274,12894
3110035E14Rik,1,25277,12892
3110035E14Rik,1,25279,13032
3110035E14Rik,1,25289,13014
3110035E14Rik,1,25293,12890
3110035E14Rik,1,25293,13026
3110035E14Rik,1,25301,13018
3110035E14Rik,1,25306,13036
3110035E14Rik,1,25307,12828
3110035E14Rik,1,25312,11919
3110035E14Rik,1,25318,13018
3110035E14Rik,1,25321,13014
3110035E14Rik,1,25325,12877
3110035E14Rik,1,25332,12968
3110035E14Rik,1,25337,12868
3110035E14Rik,1,25338,12933
3110035E14Rik,1,25342,12924
3110035E14Rik,1,25344,12927
3110035E14Rik,1,25347,12757
3110035E14Rik,1,25350,12842
3110035E14Rik,1,25350,12947
3110035E14Rik,1,25357,13031
3110035E14Rik,1,25361,13026
3110035E14Rik,1,25365,12956
3110035E14Rik,1,25376,12915
3110035E14Rik,1,25378,12876
3110035E14Rik,1,25382,12777
3110035E14Rik,1,25382,12810
3110035E14Rik,1,25385,12323
3110035E14Rik,1,25387,12328
3110035E14Rik,1,25390,12861
3110035E14Rik,1,25390,12862
3110035E14Rik,1,25390,12886
3110035E14Rik,1,25392,12877
