model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Calca,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Kctd12,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Slc17a8,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.3,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero
Astro.1,0.119541628009487,0.040905526107152,0.07934470623509601,0.085275065004781,0.08979788877592301,0.0,0.0,0.0,0.0,0.0,0.0023686523856610003,0.0,0.0,0.0013631578559660002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043872720031288004,0.010941606951027001,0.025141876006081,0.044184774704437005,0.019297426367822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017657008342460002,0.001312928115366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04811564447351,0.384803682614519
Astro.1,0.501508375158343,0.009558551062034001,0.07337891709814401,0.047961309286302004,0.21387023402650102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012497526890294002,0.007109429082474,0.030055110491073,0.024746961681588003,0.010744550859810001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002762710901833,0.004879500273223001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009537956761919,0.049572896398471004
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076583902978491,0.09870726897814001,0.0012557889624340002,0.353437526669211,0.150181430190998,0.101513589112994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010422647300930002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00105411184279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199288263730088,0.011088825378738001,0.0,0.002942067792411
Astro.1,0.06531315400065,0.034267440400744004,0.05188449410107401,0.038672901340783,0.026414036461874003,0.0,0.0,0.0,0.0,0.0,0.003420408649425,0.0,0.0,0.001916786185563,0.001395872023483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016436155662810001,0.006849373732887001,0.0,0.010379707045564,0.010849945800153001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010674513831000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004565323693918,0.7377936315767051
Astro.1,0.013342564728726001,0.0029839918950680003,0.006859386455703001,0.003315550782615,0.007474149662088001,0.0,0.0,0.001438719275976,0.0,0.0,0.050541678616698005,0.039055132929876,0.017037946926576,0.005001725976614,0.020905658849153002,0.032215538160084004,0.010213851662191001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024042291789330003,0.0014971510227090002,0.0,0.0037799841962460005,0.0039373912739580005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28415335386009305,0.005274807711289,0.0,0.0,0.0,0.007152727430385,0.00819339904209,0.0,0.0,0.098252521998586,0.0,0.0011530561594960001,0.0,0.001214928348393,0.0,0.017332626271921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037153528196295006,0.013658665894699001,0.003972408344197,0.29785247348459204
Astro.1,0.082467297737389,0.0020022709159760003,0.026398194352116003,0.005442694580179001,0.015991394923761,0.0,0.0,0.0,0.0,0.0,0.0,0.009585935662547,0.004815449456686,0.0045457730520300004,0.057713365968303,0.048007560986093004,0.0074247033012940005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003096758670089,0.0022255057947590004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102047259789799,0.001499120241632,0.0,0.01090794601494,0.0,0.0,0.0,0.0,0.0,0.0012552220848630002,0.0,0.0,0.0,0.0,0.0,0.001357298097868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048559022977416,0.49860879717882406,0.0,0.063148201154822
Astro.1,0.008137017454967001,0.005589076193321001,0.002398500091988,0.003496826438713,0.0067917672166610005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005215677417906001,0.0,0.0063215554452130005,0.009293538743613002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030134912455600004,0.9488018163078711
Astro.1,0.024797093882428,0.002157144378149,0.009530047314297001,0.0042378249587470005,0.007532926319685,0.0,0.0,0.0,0.0,0.0,0.0019185782513010002,0.0047181240521030005,0.010766405167197,0.00902744092025,0.03331931211572,0.009269853677589,0.010969046130197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010848571841270002,0.0,0.001101938306111,0.0015088255493170002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7515785891936171,0.027889700382918003,0.0,0.005002746340114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006748810019755001,0.002186388973034,0.0,0.072045009176879
Astro.2,0.014690453470915,0.02655752708365,0.020744976614725002,0.017706049516197,0.016873641237374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058853679235290005,0.005260277180349,0.0,0.014038807903762001,0.011760869124543001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009735864147876,0.8562055297101311
Astro.2,0.00253727431455,0.00438841065169,0.0,0.0021932925204750002,0.0033145934581230003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004983498093001,0.0,0.005340962892548,0.007641652868876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027882382203830002,0.9652157394261911
