mode,norm,fold,xKey,xLabel,yKey,yLabel,val
constrained,mean,0,3.0,3.0,0.2,0.2,0.6341459485178028
constrained,mean,0,3.0,3.0,0.3,0.3,0.5851506632631928
constrained,mean,0,3.0,3.0,0.4,0.4,0.46445953050704036
constrained,mean,0,3.0,3.0,0.5,0.5,0.3561366130606802
constrained,mean,0,3.0,3.0,0.6,0.6,0.31260238459750345
constrained,mean,0,3.0,3.0,0.7,0.7,0.18616852336747597
constrained,mean,0,3.0,3.0,0.8,0.8,0.11284902964569549
constrained,mean,0,3.0,3.0,0.9,0.9,0.0690044904390236
constrained,mean,0,3.0,3.0,1.0,1.0,0.04490752676071587
constrained,mean,1,0.25,0.25,0.0,0.0,0.1323179046267323
constrained,mean,1,0.25,0.25,0.1,0.1,0.11440918179991856
constrained,mean,1,0.25,0.25,0.2,0.2,0.08712154129687628
constrained,mean,1,0.25,0.25,0.3,0.3,0.06686305071978471
constrained,mean,1,0.25,0.25,0.4,0.4,0.053239475663780435
constrained,mean,1,0.25,0.25,0.5,0.5,0.05118361212928618
constrained,mean,1,0.25,0.25,0.6,0.6,0.04990289594032003
constrained,mean,1,0.25,0.25,0.7,0.7,0.052957051577739944
constrained,mean,1,0.25,0.25,0.8,0.8,0.055349587713481294
constrained,mean,1,0.25,0.25,0.9,0.9,0.05859380941564458
constrained,mean,1,0.25,0.25,1.0,1.0,0.06644568937274858
constrained,mean,1,0.5,0.5,0.0,0.0,0.4266960951499375
constrained,mean,1,0.5,0.5,0.1,0.1,0.34081808044953055
constrained,mean,1,0.5,0.5,0.2,0.2,0.3415377537158809
constrained,mean,1,0.5,0.5,0.3,0.3,0.23181574464203128
constrained,mean,1,0.5,0.5,0.4,0.4,0.18463805227567873
constrained,mean,1,0.5,0.5,0.5,0.5,0.12796326147145556
constrained,mean,1,0.5,0.5,0.6,0.6,0.09977589552237005
constrained,mean,1,0.5,0.5,0.7,0.7,0.07023095439810961
constrained,mean,1,0.5,0.5,0.8,0.8,0.04940041419622544
constrained,mean,1,0.5,0.5,0.9,0.9,0.04533495889254929
constrained,mean,1,0.5,0.5,1.0,1.0,0.042221672169821076
constrained,mean,1,0.75,0.75,0.0,0.0,0.5829310741890248
constrained,mean,1,0.75,0.75,0.1,0.1,0.49098581242826655
constrained,mean,1,0.75,0.75,0.2,0.2,0.4900567296928165
constrained,mean,1,0.75,0.75,0.3,0.3,0.43341116342099534
constrained,mean,1,0.75,0.75,0.4,0.4,0.3132286653300715
constrained,mean,1,0.75,0.75,0.5,0.5,0.31022356676207835
constrained,mean,1,0.75,0.75,0.6,0.6,0.18215938976077625
constrained,mean,1,0.75,0.75,0.7,0.7,0.12237733597102703
constrained,mean,1,0.75,0.75,0.8,0.8,0.09224994384934956
constrained,mean,1,0.75,0.75,0.9,0.9,0.054239996141541846
constrained,mean,1,0.75,0.75,1.0,1.0,0.05450836802750501
constrained,mean,1,1.0,1.0,0.0,0.0,0.6716262729697337
constrained,mean,1,1.0,1.0,0.1,0.1,0.592254293077798
constrained,mean,1,1.0,1.0,0.2,0.2,0.5704125975787897
