mode,norm,fold,xKey,xLabel,yKey,yLabel,val
constrained,mutual_information,1,2.25,2.25,0.5,0.5,2.4494103055618024
constrained,mutual_information,1,2.25,2.25,0.75,0.75,1.3297216549039153
constrained,mutual_information,1,2.25,2.25,1.0,1.0,0.6783024368762215
constrained,mutual_information,1,2.5,2.5,0.0,0.0,2.979819701324818
constrained,mutual_information,1,2.5,2.5,0.25,0.25,2.8953153601734405
constrained,mutual_information,1,2.5,2.5,0.5,0.5,2.422468140611495
constrained,mutual_information,1,2.5,2.5,0.75,0.75,1.3442733854090991
constrained,mutual_information,1,2.5,2.5,1.0,1.0,0.7665651658045793
constrained,mutual_information,1,2.75,2.75,0.0,0.0,2.934897465350072
constrained,mutual_information,1,2.75,2.75,0.25,0.25,2.907956635626165
constrained,mutual_information,1,2.75,2.75,0.5,0.5,2.354022323574688
constrained,mutual_information,1,2.75,2.75,0.75,0.75,1.353170367438773
constrained,mutual_information,1,2.75,2.75,1.0,1.0,0.7893438073770576
constrained,mutual_information,1,3.0,3.0,0.0,0.0,2.881653264579209
constrained,mutual_information,1,3.0,3.0,0.25,0.25,2.7868633473305633
constrained,mutual_information,1,3.0,3.0,0.5,0.5,2.1646497214992126
constrained,mutual_information,1,3.0,3.0,0.75,0.75,1.4235925762744328
constrained,mutual_information,1,3.0,3.0,1.0,1.0,0.8018040634995244
constrained,mutual_information,2,0.25,0.25,0.0,0.0,0.39642870362430205
constrained,mutual_information,2,0.25,0.25,0.25,0.25,-0.3774225914069693
constrained,mutual_information,2,0.25,0.25,0.5,0.5,1.9721030187749618e+294
constrained,mutual_information,2,0.25,0.25,0.75,0.75,0.4508081090377891
constrained,mutual_information,2,0.25,0.25,1.0,1.0,0.6867304935021844
constrained,mutual_information,2,0.5,0.5,0.0,0.0,2.19113833106863
constrained,mutual_information,2,0.5,0.5,0.25,0.25,1.712453275672415
constrained,mutual_information,2,0.5,0.5,0.5,0.5,0.738036915730195
constrained,mutual_information,2,0.5,0.5,0.75,0.75,-0.300192010475147
constrained,mutual_information,2,0.5,0.5,1.0,1.0,-0.329758900184807
constrained,mutual_information,2,0.75,0.75,0.0,0.0,2.684437575337158
constrained,mutual_information,2,0.75,0.75,0.25,0.25,2.412796376802856
constrained,mutual_information,2,0.75,0.75,0.5,0.5,1.7982212269968638
constrained,mutual_information,2,0.75,0.75,0.75,0.75,0.49817318935233557
constrained,mutual_information,2,0.75,0.75,1.0,1.0,-0.3416104063491742
constrained,mutual_information,2,1.0,1.0,0.0,0.0,2.8550378540777412
constrained,mutual_information,2,1.0,1.0,0.25,0.25,2.7501966257208346
constrained,mutual_information,2,1.0,1.0,0.5,0.5,2.2634602140236564
constrained,mutual_information,2,1.0,1.0,0.75,0.75,1.1412006608414675
constrained,mutual_information,2,1.0,1.0,1.0,1.0,-0.04014788685814258
constrained,mutual_information,2,1.25,1.25,0.0,0.0,2.925815083446267
constrained,mutual_information,2,1.25,1.25,0.25,0.25,2.836730558708104
constrained,mutual_information,2,1.25,1.25,0.5,0.5,2.5215151678551373
constrained,mutual_information,2,1.25,1.25,0.75,0.75,1.337881819147537
constrained,mutual_information,2,1.25,1.25,1.0,1.0,0.20141986067178233
constrained,mutual_information,2,1.5,1.5,0.0,0.0,2.9673750851358824
constrained,mutual_information,2,1.5,1.5,0.25,0.25,2.908846496727447
constrained,mutual_information,2,1.5,1.5,0.5,0.5,2.6671008044991167
constrained,mutual_information,2,1.5,1.5,0.75,0.75,1.608264483779571
constrained,mutual_information,2,1.5,1.5,1.0,1.0,0.36285342531183723
constrained,mutual_information,2,1.75,1.75,0.0,0.0,2.975122148545518
constrained,mutual_information,2,1.75,1.75,0.25,0.25,2.935853812090611
constrained,mutual_information,2,1.75,1.75,0.5,0.5,2.7434379202672687
constrained,mutual_information,2,1.75,1.75,0.75,0.75,1.7485155439531574
constrained,mutual_information,2,1.75,1.75,1.0,1.0,0.529708034689308
constrained,mutual_information,2,2.0,2.0,0.0,0.0,2.964874509709163
constrained,mutual_information,2,2.0,2.0,0.25,0.25,2.9745781588616276
constrained,mutual_information,2,2.0,2.0,0.5,0.5,2.775527074859718
constrained,mutual_information,2,2.0,2.0,0.75,0.75,1.8320944182541916
constrained,mutual_information,2,2.0,2.0,1.0,1.0,0.6362023843830645
constrained,mutual_information,2,2.25,2.25,0.0,0.0,2.9494155973884832
constrained,mutual_information,2,2.25,2.25,0.25,0.25,2.9886845520881624
constrained,mutual_information,2,2.25,2.25,0.5,0.5,2.811811690097848
constrained,mutual_information,2,2.25,2.25,0.75,0.75,1.795375537324978
constrained,mutual_information,2,2.25,2.25,1.0,1.0,0.7340375995253162
constrained,mutual_information,2,2.5,2.5,0.0,0.0,2.9590703766904736
constrained,mutual_information,2,2.5,2.5,0.25,0.25,2.9886772965963853
constrained,mutual_information,2,2.5,2.5,0.5,0.5,2.825777635779375
constrained,mutual_information,2,2.5,2.5,0.75,0.75,1.7709518796892971
constrained,mutual_information,2,2.5,2.5,1.0,1.0,0.8086767332383927
constrained,mutual_information,2,2.75,2.75,0.0,0.0,2.9496990040529862
constrained,mutual_information,2,2.75,2.75,0.25,0.25,2.984891549836788
constrained,mutual_information,2,2.75,2.75,0.5,0.5,2.844032762566011
constrained,mutual_information,2,2.75,2.75,0.75,0.75,1.7149112518327028
constrained,mutual_information,2,2.75,2.75,1.0,1.0,0.830975175208213
constrained,mutual_information,2,3.0,3.0,0.0,0.0,2.9414918274411757
constrained,mutual_information,2,3.0,3.0,0.25,0.25,2.919185995890552
constrained,mutual_information,2,3.0,3.0,0.5,0.5,2.79470796628795
constrained,mutual_information,2,3.0,3.0,0.75,0.75,1.7558893042026498
constrained,mutual_information,2,3.0,3.0,1.0,1.0,0.8726586123443124
constrained,mutual_information,3,0.25,0.25,0.0,0.0,0.39065064004462663
constrained,mutual_information,3,0.25,0.25,0.25,0.25,-0.2288364092198061
constrained,mutual_information,3,0.25,0.25,0.5,0.5,-0.4678162338837158
constrained,mutual_information,3,0.25,0.25,0.75,0.75,0.45065424404825094
constrained,mutual_information,3,0.25,0.25,1.0,1.0,0.6867048493372615
constrained,mutual_information,3,0.5,0.5,0.0,0.0,2.1812885649915024
constrained,mutual_information,3,0.5,0.5,0.25,0.25,1.7047364949599235
constrained,mutual_information,3,0.5,0.5,0.5,0.5,0.7311239251567433
constrained,mutual_information,3,0.5,0.5,0.75,0.75,-0.3052667329240058
constrained,mutual_information,3,0.5,0.5,1.0,1.0,-0.3326699425545416
constrained,mutual_information,3,0.75,0.75,0.0,0.0,2.6743119016220764
constrained,mutual_information,3,0.75,0.75,0.25,0.25,2.4054553736326096
constrained,mutual_information,3,0.75,0.75,0.5,0.5,1.7881282279198634
constrained,mutual_information,3,0.75,0.75,0.75,0.75,0.4918885993396263
constrained,mutual_information,3,0.75,0.75,1.0,1.0,-0.35155943041468707
constrained,mutual_information,3,1.0,1.0,0.0,0.0,2.844357805464494
constrained,mutual_information,3,1.0,1.0,0.25,0.25,2.7439230242706425
constrained,mutual_information,3,1.0,1.0,0.5,0.5,2.2556296954826967
constrained,mutual_information,3,1.0,1.0,0.75,0.75,1.1335629965869984
constrained,mutual_information,3,1.0,1.0,1.0,1.0,-0.04801960392917374
constrained,mutual_information,3,1.25,1.25,0.0,0.0,2.9153587364829283
constrained,mutual_information,3,1.25,1.25,0.25,0.25,2.829945616613505
constrained,mutual_information,3,1.25,1.25,0.5,0.5,2.5161660938685135
constrained,mutual_information,3,1.25,1.25,0.75,0.75,1.3301615144151155
constrained,mutual_information,3,1.25,1.25,1.0,1.0,0.19780087114255346
constrained,mutual_information,3,1.5,1.5,0.0,0.0,2.95393490684004
constrained,mutual_information,3,1.5,1.5,0.25,0.25,2.898698197024276
constrained,mutual_information,3,1.5,1.5,0.5,0.5,2.656638233532763
constrained,mutual_information,3,1.5,1.5,0.75,0.75,1.6010748915250146
constrained,mutual_information,3,1.5,1.5,1.0,1.0,0.3576462428815508
constrained,mutual_information,3,1.75,1.75,0.0,0.0,2.9651258921174777
constrained,mutual_information,3,1.75,1.75,0.25,0.25,2.9193140492517933
constrained,mutual_information,3,1.75,1.75,0.5,0.5,2.7369935738711515
constrained,mutual_information,3,1.75,1.75,0.75,0.75,1.7413716505474377
constrained,mutual_information,3,1.75,1.75,1.0,1.0,0.5265621793869419
constrained,mutual_information,3,2.0,2.0,0.0,0.0,2.951774009931703
constrained,mutual_information,3,2.0,2.0,0.25,0.25,2.9619644175595767
constrained,mutual_information,3,2.0,2.0,0.5,0.5,2.7636091443896413
constrained,mutual_information,3,2.0,2.0,0.75,0.75,1.825403600629735
constrained,mutual_information,3,2.0,2.0,1.0,1.0,0.6353639878142829
constrained,mutual_information,3,2.25,2.25,0.0,0.0,2.937483229759384
constrained,mutual_information,3,2.25,2.25,0.25,0.25,2.9809044211651226
constrained,mutual_information,3,2.25,2.25,0.5,0.5,2.8031742844627807
