Gene,Expt,x,y
3110035E14Rik,1,6077,14551
3110035E14Rik,1,6082,13446
3110035E14Rik,1,6082,14340
3110035E14Rik,1,6086,14122
3110035E14Rik,1,6087,13741
3110035E14Rik,1,6089,14168
3110035E14Rik,1,6099,13767
3110035E14Rik,1,6111,14124
3110035E14Rik,1,6111,14213
3110035E14Rik,1,6111,14721
3110035E14Rik,1,6113,13850
3110035E14Rik,1,6114,14576
3110035E14Rik,1,6125,13898
3110035E14Rik,1,6130,14074
3110035E14Rik,1,6134,13840
3110035E14Rik,1,6135,13841
3110035E14Rik,1,6136,13260
3110035E14Rik,1,6140,14339
3110035E14Rik,1,6142,14354
3110035E14Rik,1,6147,14052
3110035E14Rik,1,6152,14258
3110035E14Rik,1,6154,14348
3110035E14Rik,1,6159,14167
3110035E14Rik,1,6161,13864
3110035E14Rik,1,6175,14713
3110035E14Rik,1,6179,14793
3110035E14Rik,1,6182,13891
3110035E14Rik,1,6183,13936
3110035E14Rik,1,6191,13717
3110035E14Rik,1,6194,14467
3110035E14Rik,1,6196,13676
3110035E14Rik,1,6200,14109
3110035E14Rik,1,6201,14248
3110035E14Rik,1,6201,14542
3110035E14Rik,1,6210,14318
3110035E14Rik,1,6213,14319
3110035E14Rik,1,6214,14323
3110035E14Rik,1,6216,14333
3110035E14Rik,1,6218,14198
3110035E14Rik,1,6224,13791
3110035E14Rik,1,6224,13957
3110035E14Rik,1,6224,13970
3110035E14Rik,1,6233,13785
3110035E14Rik,1,6241,14319
3110035E14Rik,1,6242,13962
3110035E14Rik,1,6247,13984
3110035E14Rik,1,6250,13925
3110035E14Rik,1,6259,13789
3110035E14Rik,1,6259,14011
3110035E14Rik,1,6261,14007
3110035E14Rik,1,6263,14088
3110035E14Rik,1,6263,14662
3110035E14Rik,1,6264,13190
3110035E14Rik,1,6264,14024
3110035E14Rik,1,6267,14142
3110035E14Rik,1,6269,13975
3110035E14Rik,1,6273,13959
3110035E14Rik,1,6284,14122
3110035E14Rik,1,6286,14140
3110035E14Rik,1,6294,14162
3110035E14Rik,1,6296,14154
3110035E14Rik,1,6298,14161
3110035E14Rik,1,6299,14101
3110035E14Rik,1,6304,14850
3110035E14Rik,1,6311,14110
3110035E14Rik,1,6314,14345
3110035E14Rik,1,6317,14335
3110035E14Rik,1,6353,14299
3110035E14Rik,1,6357,14837
3110035E14Rik,1,6359,13981
3110035E14Rik,1,6362,14271
3110035E14Rik,1,6363,14713
3110035E14Rik,1,6365,14719
3110035E14Rik,1,6368,13982
3110035E14Rik,1,6370,14299
3110035E14Rik,1,6371,13986
3110035E14Rik,1,6372,14506
3110035E14Rik,1,6373,14380
3110035E14Rik,1,6375,14332
